	Text_ID	Word_Number	Sentence_Number	Word_In_Sentence_Number	Word	Word_Cleaned
107	2	51	3	8	inch	inch
108	2	52	3	9	of	of
109	2	53	3	10	earth	earth
110	2	54	3	11	that	that
111	2	55	3	12	was	was
112	2	56	3	13	not	not
113	2	57	3	14	illuminated	illuminated
114	2	58	3	15	by	by
115	2	59	3	16	aurora.	aurora
116	3	1	1	1	I	i
117	3	2	1	2	agree	agree
118	3	3	1	3	that	that
119	3	4	1	4	California's	california's
120	3	5	1	5	"""three"	three
121	3	6	1	6	strikes	strikes
122	3	7	1	7	and	and
123	3	8	1	8	you're	you're
124	3	9	1	9	"out"""	out
125	3	10	1	10	law	law
126	3	11	1	11	will	will
127	3	12	1	12	be	be
128	3	13	1	13	a	a
129	3	14	1	14	financial	financial
130	3	15	1	15	disaster	disaster
131	3	16	1	16	for	for
132	3	17	1	17	taxpayers	taxpayers
133	3	18	1	18	who	who
134	3	19	1	19	care	care
135	3	20	1	20	about	about
136	3	21	1	21	education	education
137	3	22	1	22	and	and
138	3	23	1	23	other	other
139	3	24	1	24	vital	vital
140	3	25	1	25	services.	services
141	3	26	2	1	But	but
142	3	27	2	2	it's	it's
143	3	28	2	3	far	far
144	3	29	2	4	from	from
145	3	30	2	5	clear	clear
146	3	31	2	6	that	that
147	3	32	2	7	the	the
148	3	33	2	8	law	law
149	3	34	2	9	can	can
150	3	35	2	10	even	even
151	3	36	2	11	be	be
152	3	37	2	12	credited	credited
153	3	38	2	13	with	with
154	3	39	2	14	a	a
155	3	40	2	15	reduction	reduction
156	3	41	2	16	in	in
157	3	42	2	17	crime	crime
158	3	43	2	18	in	in
159	3	44	2	19	California.	california
160	3	46	3	2	While	while
161	3	47	3	3	it's	it's
162	3	48	3	4	true	true
163	3	49	3	5	that	that
164	3	50	3	6	crime	crime
165	3	51	3	7	declined	declined
166	3	52	3	8	in	in
167	3	53	3	9	California	california
168	3	54	3	10	last	last
169	3	55	3	11	"year,"	year
170	3	56	3	12	crime	crime
171	3	57	3	13	also	also
172	3	58	3	14	dropped	dropped
173	3	59	3	15	nationwide	nationwide
174	4	1	1	1	Liza	liza
175	4	2	1	2	was	was
176	4	3	1	3	in	in
177	4	4	1	4	a	a
178	4	5	1	5	bad	bad
179	4	6	1	6	"temper,"	temper
180	4	7	1	7	for	for
181	4	8	1	8	she	she
182	4	9	1	9	was	was
183	4	10	1	10	mixing	mixing
184	4	11	1	11	the	the
185	4	12	1	12	Christmas	christmas
186	4	13	1	13	puddings	puddings
187	4	14	1	14	in	in
188	4	15	1	15	the	the
189	4	16	1	16	"kitchen,"	kitchen
190	4	17	1	17	and	and
191	4	18	1	18	had	had
192	4	19	1	19	been	been
193	4	20	1	20	drawn	drawn
194	4	21	1	21	from	from
195	4	22	1	22	"them,"	them
196	4	23	1	23	with	with
197	4	24	1	24	a	a
198	4	25	1	25	raisin	raisin
199	4	26	1	26	still	still
200	4	27	1	27	on	on
201	4	28	1	28	her	her
202	4	29	1	29	"cheek,"	cheek
203	4	30	1	30	by	by
204	4	31	1	31	Nana's	nana's
205	4	32	1	32	absurd	absurd
206	4	33	1	33	suspicions.	suspicions
207	4	34	2	1	She	she
208	4	35	2	2	thought	thought
209	4	36	2	3	the	the
210	4	37	2	4	best	best
211	4	38	2	5	way	way
212	4	39	2	6	of	of
213	4	40	2	7	getting	getting
214	4	41	2	8	a	a
215	4	42	2	9	little	little
216	4	43	2	10	quiet	quiet
217	4	44	2	11	was	was
218	4	45	2	12	to	to
219	4	46	2	13	take	take
220	4	47	2	14	Nana	nana
221	4	48	2	15	to	to
222	4	49	2	16	the	the
223	4	50	2	17	nursery	nursery
224	4	51	2	18	for	for
225	4	52	2	19	a	a
226	4	53	2	20	"moment,"	moment
227	4	54	2	21	but	but
228	4	55	2	22	in	in
229	4	56	2	23	custody	custody
230	4	57	2	24	of	of
231	4	58	2	25	course.	course
232	5	1	1	1	Mrs.	mrs
233	5	2	1	2	Darling	darling
234	5	3	1	3	quivered	quivered
235	5	4	1	4	and	and
236	5	5	1	5	went	went
237	5	6	1	6	to	to
238	5	7	1	7	the	the
239	5	8	1	8	window.	window
240	5	9	2	1	It	it
241	5	10	2	2	was	was
242	5	11	2	3	securely	securely
243	5	12	2	4	fastened.	fastened
244	5	13	3	1	She	she
245	5	14	3	2	looked	looked
246	5	15	3	3	"out,"	out
247	5	16	3	4	and	and
248	5	17	3	5	the	the
249	5	18	3	6	night	night
250	5	19	3	7	was	was
251	5	20	3	8	peppered	peppered
252	5	21	3	9	with	with
253	5	22	3	10	stars.	stars
254	5	23	4	1	They	they
255	5	24	4	2	were	were
256	5	25	4	3	crowding	crowding
257	5	26	4	4	round	round
258	5	27	4	5	the	the
259	5	28	4	6	"house,"	house
260	5	29	4	7	as	as
261	5	30	4	8	if	if
262	5	31	4	9	curious	curious
263	5	32	4	10	to	to
264	5	33	4	11	see	see
265	5	34	4	12	what	what
266	5	35	4	13	was	was
267	5	36	4	14	to	to
268	5	37	4	15	take	take
269	5	38	4	16	place	place
270	5	39	4	17	"there,"	there
271	5	40	4	18	but	but
272	5	41	4	19	she	she
273	5	42	4	20	did	did
274	5	43	4	21	not	not
275	5	44	4	22	notice	notice
276	5	45	4	23	"this,"	this
277	5	46	4	24	nor	nor
278	5	47	4	25	that	that
279	5	48	4	26	one	one
280	5	49	4	27	or	or
281	5	50	4	28	two	two
282	5	51	4	29	of	of
283	5	52	4	30	the	the
284	5	53	4	31	smaller	smaller
285	5	54	4	32	ones	ones
286	5	55	4	33	winked	winked
287	5	56	4	34	at	at
288	5	57	4	35	her.	her
289	6	1	1	1	Seeing	seeing
290	6	2	1	2	Peter	peter
291	6	3	1	3	slowly	slowly
292	6	4	1	4	advancing	advancing
293	6	5	1	5	upon	upon
294	6	6	1	6	him	him
295	6	7	1	7	through	through
296	6	8	1	8	the	the
297	6	9	1	9	air	air
298	6	10	1	10	with	with
299	6	11	1	11	dagger	dagger
300	6	12	1	12	"poised,"	poised
301	6	13	1	13	he	he
302	6	14	1	14	sprang	sprang
303	6	15	1	15	upon	upon
304	6	16	1	16	the	the
305	6	17	1	17	bulwarks	bulwarks
306	6	18	1	18	to	to
307	6	19	1	19	cast	cast
308	6	20	1	20	himself	himself
309	6	21	1	21	into	into
310	6	22	1	22	the	the
311	6	23	1	23	sea.	sea
312	6	24	2	1	He	he
313	6	25	2	2	did	did
314	6	26	2	3	not	not
315	6	27	2	4	know	know
316	6	28	2	5	that	that
317	6	29	2	6	the	the
318	6	30	2	7	crocodile	crocodile
319	6	31	2	8	was	was
320	6	32	2	9	waiting	waiting
321	6	33	2	10	for	for
322	6	34	2	11	him;	him
323	6	35	2	12	for	for
324	6	36	2	13	we	we
325	6	37	2	14	purposely	purposely
326	6	38	2	15	stopped	stopped
327	6	39	2	16	the	the
328	6	40	2	17	clock	clock
329	6	41	2	18	that	that
330	6	42	2	19	this	this
331	6	43	2	20	knowledge	knowledge
332	6	44	2	21	might	might
333	6	45	2	22	be	be
334	6	46	2	23	spared	spared
335	6	47	2	24	him:	him
336	6	48	2	25	a	a
337	6	49	2	26	little	little
338	6	50	2	27	mark	mark
339	6	51	2	28	of	of
340	6	52	2	29	respect	respect
341	6	53	2	30	from	from
342	6	54	2	31	us	us
343	6	55	2	32	at	at
344	6	56	2	33	the	the
345	6	57	2	34	end.	end
346	7	1	1	1	Dorothy	dorothy
347	7	2	1	2	didn't	didn't
348	7	3	1	3	know.	know
349	7	4	2	1	She	she
350	7	5	2	2	looked	looked
351	7	6	2	3	around	around
352	7	7	2	4	her	her
353	7	8	2	5	anxiously	anxiously
354	7	9	2	6	for	for
355	7	10	2	7	some	some
356	7	11	2	8	familiar	familiar
357	7	12	2	9	landmark;	landmark
358	7	13	2	10	but	but
359	7	14	2	11	everything	everything
360	7	15	2	12	was	was
361	7	16	2	13	strange.	strange
362	7	17	3	1	Between	between
363	7	18	3	2	the	the
364	7	19	3	3	branches	branches
365	7	20	3	4	of	of
366	7	21	3	5	the	the
367	7	22	3	6	many	many
368	7	23	3	7	roads	roads
369	7	24	3	8	were	were
370	7	25	3	9	green	green
371	7	26	3	10	meadows	meadows
372	7	27	3	11	and	and
373	7	28	3	12	a	a
374	7	29	3	13	few	few
375	7	30	3	14	shrubs	shrubs
376	7	31	3	15	and	and
377	7	32	3	16	"trees,"	trees
378	7	33	3	17	but	but
379	7	34	3	18	she	she
380	7	35	3	19	couldn't	couldn't
381	7	36	3	20	see	see
382	7	37	3	21	the	the
383	7	38	3	22	farm-house	farm-house
384	7	39	3	23	from	from
385	7	40	3	24	which	which
386	7	41	3	25	she	she
387	7	42	3	26	had	had
388	7	43	3	27	just	just
389	7	44	3	28	"come,"	come
390	7	45	3	29	or	or
391	7	46	3	30	anything	anything
392	7	47	3	31	she	she
393	7	48	3	32	had	had
394	7	49	3	33	ever	ever
395	7	50	3	34	seen	seen
396	7	51	3	35	"before,"	before
397	7	52	3	36	except	except
398	7	53	3	37	the	the
399	7	54	3	38	shaggy	shaggy
400	7	55	3	39	man	man
401	7	56	3	40	and	and
402	7	57	3	41	Toto.	toto
403	8	1	1	1	The	The
404	8	2	1	2	human	human
405	8	3	1	3	body	body
406	8	4	1	4	can	can
407	8	5	1	5	tolerate	tolerate
408	8	6	1	6	only	only
409	8	7	1	7	a	a
410	8	8	1	8	small	small
411	8	9	1	9	range	range
412	8	10	1	10	of	of
413	8	11	1	11	"temperature,"	temperature
414	8	12	1	12	especially	especially
415	8	13	1	13	when	when
416	8	14	1	14	the	the
417	8	15	1	15	person	person
418	8	16	1	16	is	is
419	8	17	1	17	engaged	engaged
420	8	18	1	18	in	in
421	8	19	1	19	vigorous	vigorous
422	8	20	1	20	activity.	activity
423	8	21	2	1	Heat	heat
424	8	22	2	2	reactions	reactions
425	8	23	2	3	usually	usually
426	8	24	2	4	occur	occur
427	8	25	2	5	when	when
428	8	26	2	6	large	large
429	8	27	2	7	amounts	amounts
430	8	28	2	8	of	of
431	8	29	2	9	water	water
432	8	30	2	10	and/or	and/or
433	8	31	2	11	salt	salt
434	8	32	2	12	are	are
435	8	33	2	13	lost	lost
436	8	34	2	14	through	through
437	8	35	2	15	excessive	excessive
438	8	36	2	16	sweating	sweating
439	8	37	2	17	following	following
440	8	38	2	18	strenuous	strenuous
441	8	39	2	19	exercise.	exercise
442	8	40	3	1	When	when
443	8	41	3	2	the	the
444	8	42	3	3	body	body
445	8	43	3	4	becomes	becomes
446	8	44	3	5	overheated	overheated
447	8	45	3	6	and	and
448	8	46	3	7	cannot	cannot
449	8	47	3	8	eliminate	eliminate
450	8	48	3	9	this	this
451	8	49	3	10	excess	excess
452	8	50	3	11	"heat,"	heat
453	8	51	3	12	heat	heat
454	8	52	3	13	exhaustion	exhaustion
455	8	53	3	14	and	and
456	8	54	3	15	heat	heat
457	8	55	3	16	stroke	stroke
458	8	56	3	17	are	are
459	8	57	3	18	possible	possible
460	9	1	1	1	It	it
461	9	2	1	2	was	was
462	9	3	1	3	a	a
463	9	4	1	4	forbidding	forbidding
464	9	5	1	5	"challenge,"	challenge
465	9	6	1	6	and	and
466	9	7	1	7	it	it
467	9	8	1	8	says	says
468	9	9	1	9	much	much
469	9	10	1	10	for	for
470	9	11	1	11	Winstanley's	winstanley's
471	9	12	1	12	persuasive	persuasive
472	9	13	1	13	"abilities,"	abilities
473	9	14	1	14	not	not
474	9	15	1	15	to	to
475	9	16	1	16	mention	mention
476	9	17	1	17	his	his
477	9	18	1	18	"self-confidence,"	self-confidence
478	9	19	1	19	that	that
479	9	20	1	20	the	the
480	9	21	1	21	admiralty	admiralty
481	9	22	1	22	agreed	agreed
482	9	23	1	23	to	to
483	9	24	1	24	fund	fund
484	9	25	1	25	him.	him
485	9	26	2	1	No	no
486	9	27	2	2	lighthouse	lighthouse
487	9	28	2	3	had	had
488	9	29	2	4	ever	ever
489	9	30	2	5	been	been
490	9	31	2	6	built	built
491	9	32	2	7	out	out
492	9	33	2	8	to	to
493	9	34	2	9	sea	sea
494	9	35	2	10	on	on
495	9	36	2	11	an	an
496	9	37	2	12	isolated	isolated
497	9	38	2	13	rock	rock
498	9	39	2	14	before.	before
499	9	40	3	1	The	the
500	9	41	3	2	Eddystone	eddystone
501	9	42	3	3	is	is
502	9	43	3	4	hard	hard
503	9	44	3	5	enough	enough
504	9	45	3	6	to	to
505	9	46	3	7	"avoid,"	avoid
506	9	47	3	8	but	but
507	9	48	3	9	landing	landing
508	9	49	3	10	on	on
509	9	50	3	11	it	it
510	9	51	3	12	is	is
511	9	52	3	13	a	a
512	9	53	3	14	separate	separate
513	9	54	3	15	challenge	challenge
514	9	55	3	16	entirely.	entirely
515	10	1	1	1	A	a
516	10	2	1	2	clergyman	clergyman
517	10	3	1	3	remarked	remarked
518	10	4	1	4	to	to
519	10	5	1	5	"him,"	him
520	10	6	1	6	"""The"	the
521	10	7	1	7	Lord	lord
522	10	8	1	8	is	is
523	10	9	1	9	on	on
524	10	10	1	10	our	our
525	10	11	1	11	"side."""	side
526	10	12	2	1	I	i
527	10	13	2	2	am	am
528	10	14	2	3	not	not
529	10	15	2	4	at	at
530	10	16	2	5	all	all
531	10	17	2	6	concerned	concerned
532	10	18	2	7	about	about
533	10	19	2	8	"that,"	that
534	10	20	2	9	replied	replied
535	10	21	2	10	Mr.	mr
536	10	22	2	11	Lincoln;	lincoln
537	10	23	2	12	"""for"	for
538	10	24	2	13	I	i
539	10	25	2	14	know	know
540	10	26	2	15	that	that
541	10	27	2	16	the	the
542	10	28	2	17	Lord	lord
543	10	29	2	18	is	is
544	10	30	2	19	always	always
545	10	31	2	20	on	on
546	10	32	2	21	the	the
547	10	33	2	22	side	side
548	10	34	2	23	of	of
549	10	35	2	24	the	the
550	10	36	2	25	right.	right
551	10	37	3	1	But	but
552	10	38	3	2	it	it
553	10	39	3	3	is	is
554	10	40	3	4	my	my
555	10	41	3	5	constant	constant
556	10	42	3	6	anxiety	anxiety
557	10	43	3	7	and	and
558	10	44	3	8	prayer	prayer
559	10	45	3	9	that	that
560	10	46	3	10	I	i
561	10	47	3	11	and	and
562	10	48	3	12	this	this
563	10	49	3	13	nation	nation
564	10	50	3	14	should	should
565	10	51	3	15	be	be
566	10	52	3	16	on	on
567	10	53	3	17	the	the
568	10	54	3	18	Lord's	lord's
569	10	55	3	19	"side."""	side
570	11	1	1	1	Known	known
571	11	2	1	2	as	as
572	11	3	1	3	Rapa	rapa
573	11	4	1	4	Nui	nui
574	11	5	1	5	to	to
575	11	6	1	6	the	the
576	11	7	1	7	island's	island's
577	11	8	1	8	"inhabitants,"	inhabitants
578	11	9	1	9	Rongorongo	rongorongo
579	11	10	1	10	is	is
580	11	11	1	11	a	a
581	11	12	1	12	writing	writing
582	11	13	1	13	system	system
583	11	14	1	14	comprised	comprised
584	11	15	1	15	of	of
585	11	16	1	16	pictographs.	pictographs
586	11	17	2	1	It	it
587	11	18	2	2	has	has
588	11	19	2	3	been	been
589	11	20	2	4	found	found
590	11	21	2	5	carved	carved
591	11	22	2	6	into	into
592	11	23	2	7	many	many
593	11	24	2	8	oblong	oblong
594	11	25	2	9	wooden	wooden
595	11	26	2	10	tablets	tablets
596	11	27	2	11	and	and
597	11	28	2	12	other	other
598	11	29	2	13	artifacts	artifacts
599	11	30	2	14	from	from
600	11	31	2	15	the	the
601	11	32	2	16	island's	island's
602	11	33	2	17	history.	history
603	11	34	3	1	The	the
604	11	35	3	2	art	art
605	11	36	3	3	of	of
606	11	37	3	4	writing	writing
607	11	38	3	5	was	was
608	11	39	3	6	not	not
609	11	40	3	7	known	known
610	11	41	3	8	in	in
611	11	42	3	9	any	any
612	11	43	3	10	nearby	nearby
613	11	44	3	11	islands	islands
614	11	45	3	12	and	and
615	11	46	3	13	the	the
616	11	47	3	14	script's	script's
617	11	48	3	15	mere	mere
618	11	49	3	16	existence	existence
619	11	50	3	17	is	is
620	11	51	3	18	sufficient	sufficient
621	11	52	3	19	to	to
622	11	53	3	20	confound	confound
623	11	54	3	21	anthropologists.	anthropologists
624	12	1	1	1	Some	some
625	12	2	1	2	months	months
626	12	3	1	3	"later,"	later
627	12	4	1	4	Michael	michael
628	12	5	1	5	Larson	larson
629	12	6	1	6	saw	saw
630	12	7	1	7	another	another
631	12	8	1	8	opportunity	opportunity
632	12	9	1	9	to	to
633	12	10	1	10	stack	stack
634	12	11	1	11	the	the
635	12	12	1	12	odds	odds
636	12	13	1	13	in	in
637	12	14	1	14	his	his
638	12	15	1	15	favor	favor
639	12	16	1	16	with	with
640	12	17	1	17	a	a
641	12	18	1	18	dash	dash
642	12	19	1	19	of	of
643	12	20	1	20	ingenuity.	ingenuity
644	12	21	2	1	He	he
645	12	22	2	2	walked	walked
646	12	23	2	3	into	into
647	12	24	2	4	his	his
648	12	25	2	5	bank	bank
649	12	26	2	6	one	one
650	12	27	2	7	day	day
651	12	28	2	8	and	and
652	12	29	2	9	asked	asked
653	12	30	2	10	to	to
654	12	31	2	11	withdraw	withdraw
655	12	32	2	12	his	his
656	12	33	2	13	entire	entire
657	12	34	2	14	account	account
658	12	35	2	15	"balance,"	balance
659	12	36	2	16	but	but
660	12	37	2	17	with	with
661	12	38	2	18	an	an
662	12	39	2	19	unusual	unusual
663	12	40	2	20	stipulation:	stipulation
664	12	41	2	21	He	he
665	12	42	2	22	wanted	wanted
666	12	43	2	23	as	as
667	12	44	2	24	much	much
668	12	45	2	25	of	of
669	12	46	2	26	the	the
670	12	47	2	27	cash	cash
671	12	48	2	28	as	as
672	12	49	2	29	possible	possible
673	12	50	2	30	in	in
674	12	51	2	31	one	one
675	12	52	2	32	dollar	dollar
676	12	53	2	33	notes.	notes
677	13	1	1	1	Bob	bob
678	13	2	1	2	"Murphy,"	murphy
679	13	3	1	3	the	the
680	13	4	1	4	Senior	senior
681	13	5	1	5	PGA	pga
682	13	6	1	6	Tour	tour
683	13	7	1	7	money	money
684	13	8	1	8	leader	leader
685	13	9	1	9	with	with
686	13	10	1	10	seven	seven
687	13	11	1	11	hundred	hundred
688	13	12	1	12	"thousand,"	thousand
689	13	13	1	13	says	says
690	13	14	1	14	heat	heat
691	13	15	1	15	shouldn't	shouldn't
692	13	16	1	16	be	be
693	13	17	1	17	a	a
694	13	18	1	18	factor.	factor
695	13	20	2	2	"""I"	i
696	13	21	2	3	don't	don't
697	13	22	2	4	think	think
698	13	23	2	5	you're	you're
699	13	24	2	6	going	going
700	13	25	2	7	to	to
701	13	26	2	8	have	have
702	13	27	2	9	a	a
703	13	28	2	10	heat	heat
704	13	29	2	11	wave	wave
705	13	30	2	12	I'm	i'm
706	13	31	2	13	not	not
707	13	32	2	14	going	going
708	13	33	2	15	to	to
709	13	34	2	16	be	be
710	13	35	2	17	able	able
711	13	36	2	18	to	to
712	13	37	2	19	"handle,"""	handle
713	13	38	2	20	he	he
714	13	39	2	21	said.	said
715	13	40	3	1	"""Everybody"	everybody
716	13	41	3	2	treats	treats
717	13	42	3	3	it	it
718	13	43	3	4	differently.	differently
719	13	44	4	1	My	my
720	13	45	4	2	son	son
721	13	46	4	3	"Ronnie,"	ronnie
722	13	47	4	4	his	his
723	13	48	4	5	"caddie,"	caddie
724	13	49	4	6	and	and
725	13	50	4	7	I	i
726	13	51	4	8	won't	won't
727	13	52	4	9	be	be
728	13	53	4	10	riding	riding
729	13	54	4	11	carts	carts
730	14	1	1	1	With	with
731	14	2	1	2	schools	schools
732	14	3	1	3	still	still
733	14	4	1	4	"closed,"	closed
734	14	5	1	5	cars	cars
735	14	6	1	6	still	still
736	14	7	1	7	buried	buried
737	14	8	1	8	and	and
738	14	9	1	9	streets	streets
739	14	10	1	10	still	still
740	14	11	1	11	blocked	blocked
741	14	12	1	12	by	by
742	14	13	1	13	the	the
743	14	14	1	14	widespread	widespread
744	14	15	1	15	weekend	weekend
745	14	16	1	16	"snowstorm,"	snowstorm
746	14	17	1	17	officials	officials
747	14	18	1	18	are	are
748	14	19	1	19	asking	asking
749	14	20	1	20	people	people
750	14	21	1	21	to	to
751	14	22	1	22	pick	pick
752	14	23	1	23	up	up
753	14	24	1	24	a	a
754	14	25	1	25	shovel	shovel
755	14	26	1	26	and	and
756	14	27	1	27	help	help
757	14	28	1	28	out.	out
758	14	29	2	1	In	in
759	14	30	2	2	"Boston,"	boston
760	14	31	2	3	a	a
761	14	32	2	4	"""snow"	snow
762	14	33	2	5	"angel"""	angel
763	14	34	2	6	campaign	campaign
764	14	35	2	7	is	is
765	14	36	2	8	using	using
766	14	37	2	9	social	social
767	14	38	2	10	media	media
768	14	39	2	11	to	to
769	14	40	2	12	encourage	encourage
770	14	41	2	13	neighbors	neighbors
771	14	42	2	14	and	and
772	14	43	2	15	friends	friends
773	14	44	2	16	to	to
774	14	45	2	17	be	be
775	14	46	2	18	an	an
776	14	47	2	19	angel	angel
777	14	48	2	20	and	and
778	14	49	2	21	help	help
779	14	50	2	22	dig	dig
780	14	51	2	23	out	out
781	14	52	2	24	the	the
782	14	53	2	25	stranded	stranded
783	15	1	1	1	Greg	greg
784	15	2	1	2	"Anderson,"	anderson
785	15	3	1	3	considered	considered
786	15	4	1	4	a	a
787	15	5	1	5	key	key
788	15	6	1	6	witness	witness
789	15	7	1	7	by	by
790	15	8	1	8	the	the
791	15	9	1	9	"prosecution,"	prosecution
792	15	10	1	10	vowed	vowed
793	15	11	1	11	he	he
794	15	12	1	12	wouldn't	wouldn't
795	15	13	1	13	testify	testify
796	15	14	1	14	when	when
797	15	15	1	15	served	served
798	15	16	1	16	a	a
799	15	17	1	17	subpoena	subpoena
800	15	18	1	18	last	last
801	15	19	1	19	week.	week
802	15	20	2	1	His	his
803	15	21	2	2	lawyers	lawyers
804	15	22	2	3	said	said
805	15	23	2	4	he	he
806	15	24	2	5	was	was
807	15	25	2	6	prepared	prepared
808	15	26	2	7	for	for
809	15	27	2	8	a	a
810	15	28	2	9	third	third
811	15	29	2	10	prison	prison
812	15	30	2	11	stay	stay
813	15	31	2	12	to	to
814	15	32	2	13	maintain	maintain
815	15	33	2	14	his	his
816	15	34	2	15	silence.	silence
817	15	35	3	1	Anderson	anderson
818	15	36	3	2	was	was
819	15	37	3	3	released	released
820	15	38	3	4	July	july
821	15	39	3	5	20	20
822	15	40	3	6	after	after
823	15	41	3	7	a	a
824	15	42	3	8	two-week	two-week
825	15	43	3	9	stay	stay
826	15	44	3	10	for	for
827	15	45	3	11	previously	previously
828	15	46	3	12	declining	declining
829	15	47	3	13	to	to
830	15	48	3	14	testify	testify
831	15	49	3	15	before	before
832	15	50	3	16	a	a
833	15	51	3	17	different	different
834	15	52	3	18	grand	grand
835	15	53	3	19	jury	jury
836	16	1	1	1	Steam	steam
837	16	2	1	2	sterilization	sterilization
838	16	3	1	3	is	is
839	16	4	1	4	limited	limited
840	16	5	1	5	in	in
841	16	6	1	6	the	the
842	16	7	1	7	types	types
843	16	8	1	8	of	of
844	16	9	1	9	medical	medical
845	16	10	1	10	waste	waste
846	16	11	1	11	it	it
847	16	12	1	12	can	can
848	16	13	1	13	"treat,"	treat
849	16	14	1	14	but	but
850	16	15	1	15	is	is
851	16	16	1	16	appropriate	appropriate
852	16	17	1	17	for	for
853	16	18	1	18	laboratory	laboratory
854	16	19	1	19	cultures	cultures
855	16	20	1	20	and	and
856	16	21	1	21	substances	substances
857	16	22	1	22	contaminated	contaminated
858	16	23	1	23	with	with
859	16	24	1	24	infectious	infectious
860	16	25	1	25	organisms.	organisms
861	16	26	2	1	The	the
862	16	27	2	2	waste	waste
863	16	28	2	3	is	is
864	16	29	2	4	subjected	subjected
865	16	30	2	5	to	to
866	16	31	2	6	steam	steam
867	16	32	2	7	in	in
868	16	33	2	8	a	a
869	16	34	2	9	"sealed,"	sealed
870	16	35	2	10	pressurized	pressurized
871	16	36	2	11	chamber.	chamber
872	16	37	3	1	The	the
873	16	38	3	2	liquid	liquid
874	16	39	3	3	that	that
875	16	40	3	4	may	may
876	16	41	3	5	form	form
877	16	42	3	6	is	is
878	16	43	3	7	drained	drained
879	16	44	3	8	off	off
880	16	45	3	9	to	to
881	16	46	3	10	the	the
882	16	47	3	11	sewer	sewer
883	16	48	3	12	or	or
884	16	49	3	13	sent	sent
885	16	50	3	14	for	for
886	16	51	3	15	processing.	processing
887	17	1	1	1	Owls	owls
888	17	2	1	2	are	are
889	17	3	1	3	more	more
890	17	4	1	4	flexible	flexible
891	17	5	1	5	than	than
892	17	6	1	6	humans	humans
893	17	7	1	7	because	because
