"","Text_ID","Sentence_Number","text"
"36",1,36,"the most serious ecological threat however is posed by the greatest economic boon the islands have ever had tourism"
"37",1,37,"ninety boats ranging in size from 12 passengers to 100 do the rounds of the islands"
"38",1,38,"and on the whole the schedules are managed well"
"39",1,39,"the itineraries are staggered so that at most two or three boats might appear at one location at the same time"
"40",1,40,"when you go ashore you have to be with a guide you cannot stray from the marked trails and you cannot touch the wildlife"
"41",1,41,"one of the passengers on our boat was roundly and rightly chastised for stroking a young sea-lion - an action with potentially fatal consequences for the sea-lion because of the risk of rejection by the mother"
"42",1,42,"in a country as poor as ecuador the temptation to increase the numbers of tourists is always there"
"43",1,43,"we were told there's been a recent request for permission for a much larger boat to travel round the galapagos carrying some 500 passengers"
"44",1,44,"i shudder to think what might happen if such a boat arrived at punta espinosa and disgorged everyone on to fernandina island at the same time"
"45",1,45,"not only would the shock of a thousand tramping feet endanger the rock the sand and the teeming wildlife that depends on it but it would seriously degrade the quality of the visitors' own experience"
"46",1,46,"herein lies one of the oldest dilemmas about the evolution of tourism"
"47",1,47,"we value and to want to visit the unique and fragile environments of the world"
"48",1,48,"yet in visiting we risk destroying the very qualities that render those places so enticing"
"49",1,49,"this is especially true where the rarity of the place is quite so marked as it is in the galapagos"
"50",1,50,"responsible tourism lies in absolute respect for the location and its inhabitants"
"51",1,51,"it lies in treading carefully wherever we go"
"52",1,52,"it lies in ensuring that the economic contribution we make by going helps to conserve rather than to destroy"
"53",1,53,"and it lies in developing the international networks protecting endangered species and world heritage so that they can make a difference on the ground"
"54",1,54,"fortunately in the galapagos charles darwin would recognise much of what he saw if he returned today"
"55",1,55,"it is our duty to ensure that he would recognise it again another two centuries hence"
"56",1,56,"'for the last three weeks there has been an utterly inexplicable rise in the prison population of about 600 prisoners a week' the words of martin narey the director-general of the prison service ought to prompt more than the customary political panic"
"57",1,57,"by this morning the prison population which seemed to have stabilised at around 45000 in the late 1980s and early 1990s will have passed the 70000 mark"
"58",1,58,"although the causes of the surge of the past three weeks have baffled those who might know the underlying trend a rise in the number of prisoners of 5000 since this time last year is utterly explicable and indeed was predicted"
"59",1,59,"prison policy in the uk has been an uphill slalom for the past half-century"
"60",1,60,"politicians under pressure to do something about crime pass laws and write guidelines requiring more criminals to be imprisoned for more crimes for longer"
"61",1,61,"every now and then however there is a crisis as the walls of our prisons begin to bow under the weight of numbers contained therein"
"62",1,62,"politicians then scrabble around for 'tough' alternatives to jail which they try to sell to a sceptical public educated only in a simple lock-'em-up logic that reached its conclusion in the bone-jarring stupidity of michael howard's 'prison works' slogan"
"63",1,63,"the prison-building programme then catches up with the prison population and we resume the zig-zag which has given us the least successful prison policy in europe"
"64",1,64,"the election of a labour government committed to being tough on the causes of crime was a chance to break this self- defeating sequence"
"65",1,65,"unfortunately tony blair's first home secretary jack straw lacked the courage to seize it"
"66",1,66,"david blunkett is a more adventurous figure and shows some signs of being willing to challenge the assumptions of the past but he still poses too often for the unitive gallery"
"67",1,67,"at least he will have no difficulty in rejecting a demand from the prison governors' association to take away from magistrates altogether the power to hand down custodial sentences"
"68",1,68,"but will he use this crisis to ask deeper questions about why so many people are in prison and whether they should be"
"69",1,69,"one of the causes of the rise in the prison population in the past seven years has been the growth of illegal drug use with crack cocaine a particular problem"
"70",1,70,"this week's suggestion that shock tactics should be used to discourage young people from trying heroin is off the point"
"71",1,71,"information is important but the interplay between the desire to escape reality and addiction is more complex than a simple pavlovian model"
"72",1,72,"medicalising addiction rather than keeping it in the criminal underworld offers the best hope both of controlling hard-drug use and of limiting the effect on crime"
"73",1,73,"if people who have problems with illegal drugs alcohol or mental health were taken out of our prisons there would be hardly anyone left"
"74",1,74,"when it comes to the wider causes of crime however one of the best places to start is prison itself"
"75",1,75,"with 58 per cent of inmates recorded as reoffending within two years of release prison clearly does not work"
"76",1,76,"a brave home secretary would conclude that prison obviously reinforces many of the causes of crime"
"77",1,77,"it breaks up families and usually gives prisoners nothing better to do than plan how not to get caught next time"
"78",1,78,"all parties welcomed the woolf report of 1991 yet none has acted on it to improve the education service in prison"
"79",1,79,"if schoolchildren can have life coaches why not prisoners"
"80",1,80,"instead education anger-management courses and anything constructive are often the first things to be cut when governors come under pressure to save money"
"81",1,81,"our prison system is an affront to a civilised society as is witnessed by the number of legal actions brought by prisoners under the human rights act"
"82",1,82,"even if the voters did not care about that they should care that it is a very expensive way of training criminals for more crime"
"83",1,83,"many of the alternatives to prison may not result in much better reoffending rates but at least they are cheaper"
"84",1,84,"mr blunkett should make the radically pragmatic case for the humane treatment of the nation's criminals as a first step in tackling the causes of crime"
"85",1,85,"here's something to chew over when pondering the growing problem of obese children"
"86",1,86,"the fattest child in my daughter's primary school class was also the cleverest"
"87",1,87,"her mother came from kuala lumpur and latched onto me as a fellow eurasian when we waited to collect our children after school"
"88",1,88,"far from being worried or embarrassed by hannah's humpty dumpty physique - at seven her daughter weighed close to 10 stone - she was obviously proud of what she called hannah's 'very good size' at break while the others played football hannah sat on a bench absorbed in the reader's digest or the ladybird guide to the solar system steadily working her way through a family size pack of mini mars bars"
"89",1,89,"she came to tea once and explained why although the individual galaxies were constricting the universe itself was expanding"
"90",1,90,"she wanted to be an astronaut"
"91",1,91,"i had just come back from a press trip to hawaii where one morning all of us apart from a midlands radio presenter called kenny had been taken by helicopter to see some spectacular waterfalls"
"92",1,92,"kenny couldn't come because the tour guide said he was too fat and would upset the balance of the helicopter"
"93",1,93,"i'd told the children about kenny and hoped they wouldn't bring it up"
"94",1,94,"they didn't because believe it or not they really hadn't noticed hannah was overweight"
"95",1,95,"'hannah the clever one' they'd say not 'hannah she's fat' i wish this story had a happy ending for there's no reason why stories about fat people shouldn't take kenny"
"96",1,96,"from the neck down he looked like mr blobby but he had a surprisingly lean mean profile and a devastatingly sexy voice"
"97",1,97,"women in the midlands wrote in every week to tell kenny how much they fancied him"
"98",1,98,"when we got back from our waterfall trip we found him on the hotel terrace drinking beer and dealing with his fan mail"
"99",1,99,"hannah i'm sure could have ended up as content as kenny but at 12 she was screwed up by the therapist her mother got hold of to help her lose weight"
"100",1,100,"please note it wasn't hannah who wanted to look like kate moss it was her mother forcing her"
"101",1,101,"from being a bright happy clever fat girl hannah became a depressed neurotic anorexic teenager who only read books about fashion and diets"
"102",1,102,"i bumped into her mother the other day outside the post office"
"103",1,103,"'how's hannah' i said"
"104",1,104,"she was at a health clinic in portugal doing alternate sessions of meditation and colonic irrigation said her mother"
"105",1,105,"since the obesity report came out parents have been swamped with advice about how to control their children's diets and lifestyle"
"106",1,106,"the older i get the less i'm convinced that we poor parents have any control over our children at all"
"107",1,107,"this depressing opinion was confirmed by sir richard doll the first doctor to discover the link between cancer and smoking"
"108",1,108,"he was on desert island discs and when sue lawley asked plaintively what parents could do to stop their children smoking sir richard said 'absolutely nothing' in fact he opined the more parents nagged at children not to smoke the more likely it was that they would"
"109",1,109,"as long as they stopped in their mid-thirties they wouldn't die of lung cancer he thought and there was a very strong chance they would stop smoking as adults having weighed up all the evidence against it"
"110",1,110,"i'm sure the same argument applies to obesity"
"111",1,111,"keep nagging at children to stop snacking switch off the television and take exercise the more they will guzzle and slump"
"112",1,112,"waiting outside the fitting rooms of a kings road shop the other day i was surprised and dismayed not by how fat kids are these days but how unhealthily skinny they are especially teenage girls"
"113",1,113,"the ones trying on crop tops and trousers looked less like nubile young women than scaffolding"
"114",1,114,"if you want to see serious obesity go to miami airport"
"115",1,115,"it's more obvious out there because everyone is wearing shorts"
"116",1,116,"the entire airport smells of cinnamon the preferred topping for all those doughnuts they're selling"
"117",1,117,"you see entire families sitting at doughnut stalls with buckets of doughnuts between their knees"
"118",1,118,"now that's obesity"
"119",2,1,"tony blair is engaged in low politics on fox-hunting"
"120",2,2,"the timing of this his third initiative seems to have been influenced by the need to get stephen byers through his trial by ordeal in the house of commons on tuesday"
"121",2,3,"not only did it reward labour backbenchers for their show of loyalty but it helped move the media caravan on from the semantics of lying by presenting them with a new - or rather renewed - controversy"
"122",2,4,"however labour backbenchers are not so stupid that they can be bought off with yet another meaningless vote that allows them to express their opinions and is then forgotten"
"123",2,5,"equally public opinion which on this issue is wrong but unmistakable would not easily understand another marching of the abolitionist troops up the hill only for them to be marched down again"
"124",2,6,"most people think that hunting with dogs is cruel that it should be banned and that the government should get on with it"
"125",2,7,"the real low politics of mr blair's return to this subject therefore is that of reaching a compromise with the house of lords"
"126",2,8,"whatever the presentational value with his own party of occasional confrontations with the 'forces of conservatism' in red coats and on horseback the prime minister is unlikely to want to provoke another full-dress showdown with the 'countryside' lobby"
"127",2,9,"the last time he picked a fight with them the deputy prime minister and a protester had to be prised apart in a flower-bed in rhyl in the middle of a general election campaign"
"128",2,10,"on 18 march the commons will undoubtedly vote overwhelmingly again for a complete ban on hunting"
"129",2,11,"if left to themselves the lords would just as overwhelmingly vote to leave things as they are"
"130",2,12,"mr blair may hope that the threat of the parliament act - which requires the will of the commons ultimately to prevail over that of the upper house - will encourage the lords to opt for the compromise instead"
"131",2,13,"getting the lords to decide that the 'middle way' compromise scheme is the lesser of two evils depends however on the credibility of the threat to use the parliament act"
"132",2,14,"the lords could call mr blair's bluff if they judge that he really would not want to have the so-called countryside march on whitehall again"
"133",2,15,"this is no way to decide an issue of principle"
"134",2,16,"the majority of people in britain confuse their distaste for a minority pursuit with the instinct that 'there ought to be a law against it' there should not be just as there should be no law against the rather more popular sport of angling"
"135",2,17,"the undue attention devoted to one particular means of culling animals owes too much to the perceived class connotations of 'country sports' and sanctimony about humans deriving pleasure from it"
"136",2,18,"what requires legislation is the less visible cruelty towards factory-farmed chickens and pigs and towards other animals in transit not to mention cruel and unnecessary experiments on primates"
"137",2,19,"a compromise between a ban on hunting and no ban is dishonest"
"138",2,20,"the idea of licensed or regulated cruelty makes no sense"
"139",2,21,"it would be better if the prime minister and all those mps who vote for a ban simply to earn easy applause from a vocal and passionate minority of their constituents were courageous enough to explain to the voters that while some activities may offend our sensibilities they should not all be banned"
"140",2,22,"the middle way is a classic blairite fudge"
"141",2,23,"it is unlikely to satisfy either side - although the anti-hunters are likely to be the more disappointed because hunting would continue with only some of its more repellent excesses curtailed"
"142",2,24,"the prime minister would earn a great deal more respect if he said what he really thought and explained and defended that instead of trying to fix his way out of a political problem"
"143",2,25,"today in the european parliament's chamber in brussels 105 men and women from 28 european nations will gather to begin discussing a constitutional settlement for europe"
"144",2,26,"europe has a constitution now of course but in its various official languages it runs into literally millions of pages of legislation council decisions and commission directives known collectively as the 'acquis' - not exactly a household term in europe's salons and saunas"
"145",2,27,"this tangle of laws and regulations has long cried out to be formulated into a few simple rules with the paramount aim of bringing europe closer to its people as the jargon goes"
"146",2,28,"the question is whether the constitutional convention now assembled under the leadership of the former french president val‚ry giscard d'estaing is an appropriate vehicle to deliver a new constitutional settlement"
"147",2,29,"certainly the choice of mr giscard to run things doesn't inspire a great deal of confidence"
"148",2,30,"the fact that he is old should be no obstacle although his slightly sleazy past (remember the bokassa diamonds scandal) detracts a little from his dignity"
"149",2,31,"the more serious drawback with mr giscard is simply the suspicion that he will guide the convention in a direction that reflects the traditional french approach to governance - not so much libert‚ fraternit‚ egalit‚ as ‚litisme dirigisme technocratie"
"150",2,32,"that trinity was in fact very much the foundation of the institutions of the original european community as set out in the treaty of rome of 1957"
"151",2,33,"it was the vision of jean monnet and robert schumann the french founding fathers of the community and of the comit‚ d'action pour les etats-unis d'europe that they founded"
"152",2,34,"these arrangements worked well for the small community of the six but in a union of 15 they are distinctly creaky"
"153",2,35,"all agree that in a union of 25 or 30 - the position we could easily be in before the decade is out - such arrangements would be unsustainable"
"154",2,36,"the danger is that mr giscard a typical product of the french ‚lite will simply want to give us 'more of the same' but with a much stronger centre"
"155",2,37,"that would mean a stronger commission and a 'leadership' role for the big five (france the uk germany italy and spain) to cope with the demands of a 30-state union"
"156",2,38,"indeed worries about expansion leading to a wider but looser eu underlay the french government's past resistance to welcoming new members from scandinavia and the east"
"157",2,39,"still there are reasons to be optimistic"
"158",2,40,"mr giscard will not be able to have things all his own way in a 105-member commission especially as the british are providing its chief executive in the form of sir john kerr a supermandarin and diplomat"
"159",2,41,"and the laeken declaration that set up the convention declared that 'european institutions must be brought closer to citizens"
"160",2,42,"they want them to be less unwieldy and more efficient and open' that cannot be ignored"
"161",2,43,"by far the best way of ensuring that europe is brought closer to its people is to provide for a stronger european parliament"
"162",2,44,"until that is done there is very little chance of a truly pan-european party system developing and with that a european level of debate"
"163",2,45,"more sessions of the european council should be open to the cameras and the public"
"164",2,46,"and most importantly there should be a much stronger formal commitment to the principle of subsidiarity with more decision-making devolved to national regional and local levels"
"165",2,47,"more than ever in a union of 30 states europe should concentrate on performing the tasks - in the economic environmental and even defence fields - where it can make a difference"
"166",2,48,"surely mr giscard has to understand that"
"167",2,49,"the prospect of meeting an old but long-separated schoolfriend can trigger far more fear than joy"
"168",2,50,"did the charismatic soul who thrilled your teenage self evolve into a bore a prig an oaf"
"169",2,51,"worse did they never possess the virtues you innocently pinned to them"
"170",2,52,"what applies to people applies in spades to literature"
"171",2,53,"to re-read a favourite author of one's youth is to court incredulity and even self-disgust"
"172",2,54,"how could i have rated that pretentious garbage/sentimental schlock"
"173",2,55,"around the age of 15 i adored john steinbeck's the grapes of wrath almost more than any other novel"
"174",2,56,"soon enough i learnt this was an inadmissible affection"
"175",2,57,"too folksy too naturalistic stylistically immature politically na‹ve the hit squads of academic criticism had dropped down hard on steinbeck even before his death in 1968"
"176",2,58,"he was born - in salinas california - on 27 february 1902 and next week allen lane publishes an ample selection of his non-fiction to mark the centenary of men and their making edited by susan shillinglaw and jackson j benson (œ25) of course i opened it with trepidation"
"177",2,59,"would steinbeck prove as cringingly embarrassing as every other 15-year-old crush"
"178",2,60,"i need not have worried"
"179",2,61,"of men and their making is a constant delight a generous open-hearted vaudeville show of a book that switches from elegantly crafted memoirs to frivolous pieces on fishing or fords from thrilling reportage to sinewy meditations on politics and culture"
"180",2,62,"not all of it is perfect or profound"
"181",2,63,"steinbeck wrote reams of journalism over three decades and one leading item on the academic charge-sheet states that he squandered too much talent on ephemera"
"182",2,64,"but all in all his praise for mark twain's 'incredible ear and eye and sense of form' as a subjective observer goes for steinbeck too"
"183",2,65,"here is the democratic american voice in all its glory friendly courageous compassionate keen to go everywhere see everything and capture it all in pacy spirited prose that can swing between high ideas and street life without missing a beat"
"184",2,66,"the collection teems with hundreds of images and phrases that kick and bite and stay - from the childhood memory of a phonograph that 'leaped from a shelf and destroyed itself' in the california earthquake of 1906 to the vision of bob hope in london in 1943 wisecracking to a hospital ward of maimed soldiers and magically drawing 'laughter up out of the black water' we revisit the beautifully-evoked california towns of steinbeck's youth and we follow him into the itinerant workers' camps of the dust bowl years in articles that mount a ringing defence of the dignity of 'economic migrants' the editors choose some grittily memorable wartime reportage some charming accounts of postwar europe and portraits of his friends from woody guthrie and robert capa to henry fonda"
"185",2,67,"(watching john ford's fine film of the grapes of wrath after 20 years steinbeck is galvanised when this 'lean stringy dark-faced piece of electricity walked out on the screen') even the 1966 text of a photo book on america and americans written when he had allegedly gone soft is typically abrasive about his countrymen's taste for narcissism and racism 'from the first we have treated our minorities abominably the way the old boys do the new kids in school' steinbeck was not always prescient (like many other us liberals he supported the early stages of the war in vietnam) yet these 400 pages rattle by without a snide thought a cheap shot or a dead sentence from beginning to end"
"186",2,68,"at a time when establishment america takes on the sepulchral tones of donald rumsfeld (or the silences of kenneth lay) this book could achieve more for the nation's prestige overseas than a hundred extra cia recruits"
"187",2,69,"in the list of picture captions you never thought you'd see in the pages of a serious newspaper '160-million-year-old vomit' is right up there with 'joan collins and her new husband also 68' but '160 million-year-old vomit' was precisely the caption in tuesday's papers relating to the thrilling discovery of fossilised dinosaur puke in a clay quarry near peterborough"
"188",2,70,"let's leave to the panellists of have i got news for you the cheap gibe that the daily telegraph - with a substantial number of fossils and dinosaurs among its readers - was stirring nostalgia rather than publishing bona fide news"
"189",2,71,"instead let's consider what a fabulous discovery this is beyond even steven spielberg's wildest dreams"
"190",2,72,"professor peter doyle of the university of greenwich believes that the fossils found near peterborough are partly-digested shellfish regurgitated by ichthyosaurs marine reptiles"
"191",2,73,"how he reached this conclusion is not the business of this column thank god (not of course that the almighty has any place in palaeontology) but it is certainly interesting to dwell on the significance of his conclusion"
"192",2,74,"for one thing it heaps enviable prestige upon peterborough which until this week had only its handsome norman cathedral to boast about"
"193",2,75,"but there aren't too many places in the world able to demonstrate proof that an ichthyosaur once chundered somewhere in the vicinity"
"194",2,76,"thinking about it though it is quite possible that the people of peterborough would rather not adopt this as a claim to fame just as the townsfolk of slough tend not to put it about that john betjeman once wrote a poem about them"
"195",2,77,"as for the vomiting side of the equation i don't know if you've noticed but throwing-up has been looming large in popular culture"
"196",2,78,"billy connolly was one of the first to draw attention to it wondering why drunkards being sick call so despairingly for ralph and huey"
"197",2,79,"and although vomiting was one of the last human bodily functions to get a regular airing on television rare is the drama now that does not feature at least one person spewing into a toilet"
"198",2,80,"certainly no self-respecting soap lets new year's eve go without a character chucking up after too much alcohol we have even had animated vomit on the simpsons"
"199",2,81,"i mention this because until now palaeontology has rubbed shoulders with popular culture only in the bbc series walking with dinosaurs - which as brilliant as it was tended to drag once you'd marvelled at the special effects for long enough - and in the irritating form of ross in the sitcom friends"
"200",2,82,"but professor doyle's discovery changes everything"
"201",2,83,"i have a six-year-old son who knows the difference between a protoceratops and a diplodocus like he knows the difference between baked beans and strawberry jam"
"202",2,84,"however he has been to the natural history museum dozens of times and it no longer lights his fire"
"203",2,85,"when i told him about the ichthyosaur pebble-dashing parts of cambridgeshire with shellfish however he was all ears"
"204",2,86,"he was plainly enthralled by the idea that anything jurassic might behave in the same way as he did the other night after a tummy bug brought up his spaghetti bolognese"
"205",2,87,"might behave better still like bart simpson"
"206",2,88,"what is needed now is for an enterprising children's telly producer perhaps the person behind that sickeningly cute dinosaur barney to make a show about twin ichthyosaurs called ralph and huey"
"207",2,89,"and the thought also occurs that some graduate student might want to consider a thesis on the enthralling history of vomit"
"208",2,90,"i was once shown round a vomitorium where middle-class romans went to bring back their dinners"
"209",2,91,"it was fascinating"
"210",2,92,"but i can't for the life of me remember where it was"
"211",2,93,"for peterborough's sake not there i hope"
"212",3,1,"the decision of the human fertility and embryology authority (hfea) to allow a couple to select genetically their next baby was bound to raise concerns that advances in biotechnology are racing ahead of our ability to control the consequences"
"213",3,2,"the couple at the centre of this case have a son who suffers from a potentially fatal disorder and whose best hope is a marrow transplant from a sibling so the stakes of this decision are particularly high"
"214",3,3,"the hfea's critics believe that it sanctions 'designer babies' and does not show respect for the sanctity of individual life"
"215",3,4,"certainly the authority's backing for shahana and raj hashmi's plea for genetic screening raises fundamental questions about producing one human being to cure another's disease"
"216",3,5,"but the parents' view is simple and compelling"
"217",3,6,"the ivf treatment is available to help produce a baby whose tissue will match his or her elder brother's bone marrow"
"218",3,7,"they require as mrs hashmi puts it 'a helping hand' from the hfea"
"219",3,8,"screening for genetic disorders has been permissible for some time"
"220",3,9,"those who oppose the treatment on grounds that it echoes destructive eugenics programmes have misplaced their concern"
"221",3,10,"the use of such techniques to weed out genes that might result in a disability does not suggest that disabled people are 'defective' it merely uses progress to prevent a malfunction of nature"
"222",3,11,"they would not reject medical intervention to put right other things that go wrong with the body"
"223",3,12,"yet they ask that mankind pass up the chance to use scientific advances in biotechnology to prevent unnecessary suffering"
"224",3,13,"the inconsistency is striking and would be cruel if it were allowed to impede a beneficial solution"
"225",3,14,"the hfea already backed tissue-type screening in principle in december"
"226",3,15,"this latest move is a logical advance"
"227",3,16,"we can welcome that and still accept the need to maintain the distinction between these and more frivolous or dubious reasons why parents might want to opt for genetic pre-selection"
"228",3,17,"that is why it is also right that the hfea continues to reject genetic pre-selection if it helps parents choose gender let alone more superficial preferences for a certain appearance"
"229",3,18,"grounds of pure preference are not enough to make parental choice paramount and the authority should resist pressure to give in on this point"
"230",3,19,"the hashmis' aim is very different"
"231",3,20,"they are concerned with saving a life as well as creating one"
"232",3,21,"they and their doctors may reject other embryos as imperfect matches but they are not selecting their baby as if it were a designer coat or handbag"
"233",3,22,"this is a clear case of maximising benefits and minimising harm"
"234",3,23,"the parents want another child and their existing son will be the beneficiary"
"235",3,24,"critics of such technology warn that the child is to be used as a means rather than an end in itself"
"236",3,25,"instead of being valued for his or her own sake they say the next hashmi baby's raison d'ˆtre will be his life-saving qualities"
"237",3,26,"yet in wanting their child to serve a certain purpose this couple is merely following in the footsteps of countless couples before them couples who have wanted a child to boost their own relationship or provide their first-born with a sibling"
"238",3,27,"the hashmis' decision is like that of any other couple who want the best for their child"
"239",3,28,"shahana and raj hashmi will undoubtedly love their next baby as much as their first"
"240",3,29,"as david beckham discovered to his cost the manager of manchester united likes to have the last word"
"241",3,30,"which is why he's signed up for another 3 years and œ11m one of the defining moments of sir alex ferguson's glorious but often contentious career as manager of manchester united came in february 2000 when david beckham his star player failed to report for training"
"242",3,31,"beckham said his baby son was ill and that he needed to be at home with him"
"243",3,32,"fair enough"
"244",3,33,"but when ferguson discovered that beckham's wife victoria was out shopping at the time he hit the roof"
"245",3,34,"according to someone who knows him well the publicity machine that surrounds the beckhams has always been intensely irritating to him"
"246",3,35,"now by his lights beckham was letting the side down and in ferguson's book there is no greater sin"
"247",3,36,"for the next match beckham was kicked out of the team"
"248",3,37,"he wasn't even a substitute"
"249",3,38,"it seemed unthinkable to drop beckham - to put a personal squabble as some saw it before the interests of the team"
"250",3,39,"but ferguson had done it"
"251",3,40,"what the incident really betrayed was a clash of cultures - a 21st-century new-man touchy-feeliness on the one hand and on the other the hard man's world that shaped ferguson growing up among the scottish working class in the 1950s"
"252",3,41,"it certainly wasn't one in which wives have the definitive say in their husband's lives which is ironic in the light of what lay behind last week's news that far from retiring at the end of this season as had previously been announced ferguson will remain at old trafford for another three years"
"253",3,42,"though no great lover of the game ferguson's wife cathy knew what it meant to him and could still mean and she perhaps didn't relish the prospect of having this great brooding figure about the house with no outlet for his footballing energies"
"254",3,43,"no matter that he has achieved everything at united - the european cup seven premier league titles four fa cups and one league cup - or that he turned 60 at the end of 2001"
"255",3,44,"cathy ferguson could see that there was plenty left in him and her intervention was crucial"
"256",3,45,"why not carry on"
"257",3,46,"'as cathy says 'retire when you feel tired'' ferguson said last week"
"258",3,47,"'and i feel strong young and fit' family has always been important to ferguson and so by extension have the wider roots of his upbringing"
"259",3,48,"in his case that was govan the clydeside district on the south-western edge of glasgow where his father alex snr was one of 100000 or so men who built ships"
"260",3,49,"the sense of community in which ferguson grew up was palpable and as a young toolmaker in a glasgow factory he was soon involved in the union"
"261",3,50,"full-time professional football did not come until he was 22 when he joined dunfermline"
"262",3,51,"spells at three other clubs followed"
"263",3,52,"he ran a pub in glasgow before taking up his first managerial post at st mirren"
"264",3,53,"but it was as the manager of aberdeen from 1978 to 1986 that ferguson made his mark breaking the hold over scottish football enjoyed by rangers and celtic before moving to manchester"
"265",3,54,"united was a club on which the past bore down"
"266",3,55,"with both the munich air disaster of 1958 and the triumphs of the late 1960s it had a unique legacy that it was struggling to live up to"
"267",3,56,"since the retirement in 1971 of the great sir matt busby a succession of managers had come and gone with little to show"
"268",3,57,"would ferguson do any better"
"269",3,58,"in the early years it was touch and go whether he would survive"
"270",3,59,"but he bought some time by winning the fa cup in 1990 and the elusive championship the club's first for 26 years finally arrived in 1993 in the inaugural premier league season"
"271",3,60,"since then united have been almost unstoppable as both a footballing and a commercial force"
"272",3,61,"ferguson's achievement has been to withstand the pressure that goes with running the world's biggest club and at the same time maintain the attacking tradition of the united sides of old"
"273",3,62,"even united's detractors - the club is fiercely resented for its stranglehold on the english game - have to admit that under ferguson domestic football has been raised to breathtaking new levels"
"274",3,63,"if such erudite continentals as the england manager sven goran eriksson and arsšne wenger of arsenal seem to represent a new studiousness in football then ferguson might be seen as a throwback to an age when the sort of men to whom he is heir - tough fellow-scots such as bill shankly and jock stein - seethed with a passion for the game and exuded a sometimes terrifying authority"
"275",3,64,"but you don't get to be the towering figure that ferguson has become without the shrewdness attention to detail and profound understanding of players' personalities which no powers of intimidation can make up for"
"276",3,65,"it's just that unlike eriksson and wenger ferguson has been known to go into rages in which tables have been kicked and teacups thrown"
"277",3,66,"'there's a difference between old-style and old-fashioned' says alastair campbell the downing street press chief who has welcomed ferguson as a staunch labour supporter"
"278",3,67,"'yes he's old- style in that he's disciplined and he leads from the top"
"279",3,68,"but what people perhaps don't understand about alex is that he has an incredibly acute intelligence"
